Treatment,Stimulus,fEPSP,SE
avoidable,5,-6.74869E-05,0.000130968
avoidable,10,-0.000175783,0.000112284
avoidable,15,-0.000832684,0.000147093
avoidable,20,-0.001366294,0.000140976
avoidable,30,-0.001964239,0.000215192
avoidable,40,-0.002329406,0.000340634
avoidable,50,-0.002829596,0.000412729
unavoidable,5,-4.05763E-05,4.63659E-05
unavoidable,10,-0.000365079,0.000167327
unavoidable,15,-0.000675977,0.000201654
unavoidable,20,-0.001370771,0.000389303
unavoidable,30,-0.002305098,0.000310298
unavoidable,40,-0.002573319,0.000508495
unavoidable,50,-0.002958916,0.000667429